Feature,Importance
targeted_productivity,0.2427049595212267
smv,0.13026359510468632
incentive,0.10468142842883527
team,0.09962852545853298
no_of_workers,0.09626424975131935
over_time,0.09105676491936333
wip,0.03782050370330278
quarter_Quarter4,0.032599217843396915
day_Sunday,0.020607580110328618
day_Wednesday,0.01977533584288298
quarter_Quarter2,0.019643674071243136
day_Saturday,0.017336256213908177
day_Thursday,0.016798878238992777
quarter_Quarter3,0.016530631401869247
day_Tuesday,0.013879311082260764
idle_men,0.013529743960265869
quarter_Quarter5,0.01088641832248294
department_sewing,0.00839310556636253
idle_time,0.005194734554228197
no_of_style_change,0.002405085904511171
day_Friday,0.0
